;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Movimento";"Movimento";"Saldo Atual"
;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Débito";"Crédito";"Saldo Atual"
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000026";36,31;0;0;36,31
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000027";8933,55;0;0;8933,55
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000028";560341,8;0;0;560341,8
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000033";1,25;0;0;1,25
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000035";0,29;0;0;0,29
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000036";1517083,11;0;0;1517083,11
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000042";6321470,53;0;0;6321470,53
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000043";1517151,33;0;0;1517151,33
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000070";14633853,39;0;0;14633853,39
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000071";1325;0;0;1325
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000072";326752,17;0;0;326752,17
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"000073";738826,4;0;0;738826,4
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"002670";20909,5;0;0;20909,5
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"004977";0;0;0;0
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"007996";1920,8;0;0;1920,8
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"009999";59591,84;0;0;59591,84
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"212023";10986,82;0;0;10986,82
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"230097";642,71;0;0;642,71
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"230098";337,9;0;0;337,9
"Executivo - 10111";"1";"501";"230";"Outros Recursos não Vinculados";"922013";133763,84;0;0;133763,84
"Executivo - 10111";"1";"540";"215";"Transferências do FUNDEB - Impostos e Transferências de Impostos";"000000";221600,6;0;0;221600,6
"Executivo - 10111";"1";"540";"215";"Transferências do FUNDEB - Impostos e Transferências de Impostos";"000030";461505130,83;2416310,39;32224616,4;491313436,84
"Executivo - 10111";"1";"540";"215";"Transferências do FUNDEB - Impostos e Transferências de Impostos";"000040";0;0;0;0
"Executivo - 10111";"1";"540";"215";"Transferências do FUNDEB - Impostos e Transferências de Impostos";"000070";2013646563,78;0;0;2013646563,78
"Executivo - 10111";"1";"541";"215";"Transferências do FUNDEB - Complementação da União - VAAF";"000070";0;0;0;0
